row,column,cor,p
Glob_sevanje_max,Glob_sevanje_mean,0.981852206901678,0
Glob_sevanje_max,Glob_sevanje_min,,
Glob_sevanje_mean,Glob_sevanje_min,,
Glob_sevanje_max,Hitrost_vetra_max,-0.0800628954962973,6.61047296417472e-05
Glob_sevanje_mean,Hitrost_vetra_max,-0.10071362653571,5.06792344978635e-07
Glob_sevanje_min,Hitrost_vetra_max,,
Glob_sevanje_max,Hitrost_vetra_mean,-0.0992098061547294,7.48507080761129e-07
Glob_sevanje_mean,Hitrost_vetra_mean,-0.122003021239002,1.10841913425475e-09
Glob_sevanje_min,Hitrost_vetra_mean,,
Hitrost_vetra_max,Hitrost_vetra_mean,0.907213331399458,0
Glob_sevanje_max,Hitrost_vetra_min,-0.124896775021683,4.41488623437181e-10
Glob_sevanje_mean,Hitrost_vetra_min,-0.144891336322318,4.2543746303636e-13
Glob_sevanje_min,Hitrost_vetra_min,,
Hitrost_vetra_max,Hitrost_vetra_min,0.721887363281527,0
Hitrost_vetra_mean,Hitrost_vetra_min,0.906959416163068,0
Glob_sevanje_max,Sunki_vetra_max,-0.114280238706049,1.16587801635148e-08
Glob_sevanje_mean,Sunki_vetra_max,-0.128590749307081,1.32178268330563e-10
Glob_sevanje_min,Sunki_vetra_max,,
Hitrost_vetra_max,Sunki_vetra_max,0.903967936348855,0
Hitrost_vetra_mean,Sunki_vetra_max,0.846590383737374,0
Hitrost_vetra_min,Sunki_vetra_max,0.697579850192674,0
Glob_sevanje_max,Sunki_vetra_mean,-0.127788828514206,1.72243996843235e-10
Glob_sevanje_mean,Sunki_vetra_mean,-0.145373501912856,3.5527136788005e-13
Glob_sevanje_min,Sunki_vetra_mean,,
Hitrost_vetra_max,Sunki_vetra_mean,0.858519795016752,0
Hitrost_vetra_mean,Sunki_vetra_mean,0.938737983819254,0
Hitrost_vetra_min,Sunki_vetra_mean,0.85727930032051,0
Sunki_vetra_max,Sunki_vetra_mean,0.919400926831384,0
Glob_sevanje_max,Sunki_vetra_min,-0.135997643114604,1.06017417067505e-11
Glob_sevanje_mean,Sunki_vetra_min,-0.153550624903815,1.50990331349021e-14
Glob_sevanje_min,Sunki_vetra_min,,
Hitrost_vetra_max,Sunki_vetra_min,0.713554749276872,0
Hitrost_vetra_mean,Sunki_vetra_min,0.879692618187963,0
Hitrost_vetra_min,Sunki_vetra_min,0.931681978210805,0
Sunki_vetra_max,Sunki_vetra_min,0.75463472058561,0
Sunki_vetra_mean,Sunki_vetra_min,0.91927834596926,0
Glob_sevanje_max,Padavine_mean,-0.172557926034815,0
Glob_sevanje_mean,Padavine_mean,-0.165934106349521,0
Glob_sevanje_min,Padavine_mean,,
Hitrost_vetra_max,Padavine_mean,0.215872383466163,0
Hitrost_vetra_mean,Padavine_mean,0.115594039304951,7.8959327964867e-09
Hitrost_vetra_min,Padavine_mean,0.0223700730484477,0.265644533216203
Sunki_vetra_max,Padavine_mean,0.268364528417717,0
Sunki_vetra_mean,Padavine_mean,0.144686420462619,4.59188242984965e-13
Sunki_vetra_min,Padavine_mean,0.0419260607122566,0.0368950521465665
Glob_sevanje_max,Padavine_sum,-0.176855037534131,0
Glob_sevanje_mean,Padavine_sum,-0.168650481583066,0
Glob_sevanje_min,Padavine_sum,,
Hitrost_vetra_max,Padavine_sum,0.190932187782168,0
Hitrost_vetra_mean,Padavine_sum,0.0990031856971826,7.89363080899719e-07
Hitrost_vetra_min,Padavine_sum,0.0167874526084751,0.403544063810712
Sunki_vetra_max,Padavine_sum,0.234652213260892,0
Sunki_vetra_mean,Padavine_sum,0.12282433208936,8.5540774463766e-10
Sunki_vetra_min,Padavine_sum,0.0348959406657589,0.0824303500486532
Padavine_mean,Padavine_sum,0.910026579356194,0
Glob_sevanje_max,Pritisk_max,0.0369822648970113,0.0656714086478463
Glob_sevanje_mean,Pritisk_max,0.00588230785725554,0.769771945924002
Glob_sevanje_min,Pritisk_max,,
Hitrost_vetra_max,Pritisk_max,0.400665279146923,0
Hitrost_vetra_mean,Pritisk_max,0.491532368662177,0
Hitrost_vetra_min,Pritisk_max,0.480337842552045,0
Sunki_vetra_max,Pritisk_max,0.261935619247492,0
Sunki_vetra_mean,Pritisk_max,0.3395038810497,0
Sunki_vetra_min,Pritisk_max,0.357199331927044,0
Padavine_mean,Pritisk_max,-0.161250106293696,6.66133814775094e-16
Padavine_sum,Pritisk_max,-0.168120815138936,0
Glob_sevanje_max,Pritisk_mean,0.04852867614686,0.015694713563128
Glob_sevanje_mean,Pritisk_mean,0.0176939203353373,0.378632226589072
Glob_sevanje_min,Pritisk_mean,,
Hitrost_vetra_max,Pritisk_mean,0.389903231184706,0
Hitrost_vetra_mean,Pritisk_mean,0.482165376744657,0
Hitrost_vetra_min,Pritisk_mean,0.47310299851647,0
Sunki_vetra_max,Pritisk_mean,0.250188026495833,0
Sunki_vetra_mean,Pritisk_mean,0.329095045252814,0
Sunki_vetra_min,Pritisk_mean,0.349343952613266,0
Padavine_mean,Pritisk_mean,-0.168223510621261,0
Padavine_sum,Pritisk_mean,-0.174562254007145,0
Pritisk_max,Pritisk_mean,0.999379186270406,0
Glob_sevanje_max,Pritisk_min,0.0560905418717843,0.00522297713365161
Glob_sevanje_mean,Pritisk_min,0.0253162760177911,0.207742257659366
Glob_sevanje_min,Pritisk_min,,
Hitrost_vetra_max,Pritisk_min,0.381021475679866,0
Hitrost_vetra_mean,Pritisk_min,0.474459620879249,0
Hitrost_vetra_min,Pritisk_min,0.467180344802385,0
Sunki_vetra_max,Pritisk_min,0.240621245872579,0
Sunki_vetra_mean,Pritisk_min,0.32071862489355,0
Sunki_vetra_min,Pritisk_min,0.343066631499219,0
Padavine_mean,Pritisk_min,-0.173870750727409,0
Padavine_sum,Pritisk_min,-0.179957253587951,0
Pritisk_max,Pritisk_min,0.998136683032329,0
Pritisk_mean,Pritisk_min,0.999618306961753,0
Glob_sevanje_max,Vlaga_max,-0.213004990028291,0
Glob_sevanje_mean,Vlaga_max,-0.183033909609938,0
Glob_sevanje_min,Vlaga_max,,
Hitrost_vetra_max,Vlaga_max,-0.433340345455133,0
Hitrost_vetra_mean,Vlaga_max,-0.527012024601184,0
Hitrost_vetra_min,Vlaga_max,-0.509682646485755,0
Sunki_vetra_max,Vlaga_max,-0.43288242197732,0
Sunki_vetra_mean,Vlaga_max,-0.522890969627423,0
Sunki_vetra_min,Vlaga_max,-0.5117197692054,0
