Glob_sevanje_mean,Hitrost_vetra_max,Hitrost_vetra_mean,Vlaga_max,Vlaga_mean,Temperatura_lokacija_max,O3,mesec,Glob_sevanje_spr,Vlaga_spr,Temperatura_lokacija_spr
0.625,2.8,1.9125,84.4,83.35,2.9,NIZKA,1,5,2.7,1
0.4,1.9,1.0625,85.7,83.675,7.1,SREDNJA,1,3.2,5.2,0.9
0.5,2.3,1.7,82.1,75.5625,9.2,SREDNJA,1,4,22,4.5
0.625,2,1.775,89.3,87.8625,5.4,NIZKA,1,5,3.09999999999999,1
0.5,2.2,1.7,93.1,92.225,4.5,NIZKA,1,4,1.59999999999999,1
0.375,2.5,1.9875,91.5,84.4,5.6,NIZKA,1,3,19.4,1.5
0.5,2.6,1.775,89,86.2375,5.7,NIZKA,1,4,4.59999999999999,1.2
0.2,2.2,1.375,71.9,68.65,6.6,SREDNJA,1,1.6,6.60000000000001,1.5
0.2375,1.8,1.3,85.9,82.7375,7.7,SREDNJA,1,1.9,4.90000000000001,0.5
0.1125,4.8,2.85,88.9,86.7375,9,NIZKA,1,0.9,4.5,0.699999999999999
0.2125,1.6,1.3125,92.5,91.7625,7.5,NIZKA,1,1.7,2,1.5
0.625,2.5,1.8625,85.8,71.35,4.5,SREDNJA,1,5,29.9,3.1
0.125,3.4,1.55,88.7,77.45,6.5,SREDNJA,1,1,21.4,1.4
0.1125,3,2.475,83.2,79.65,4.9,NIZKA,1,0.9,7,2.4
0.3625,2.7,1.8375,91.8,85.1,8.1,SREDNJA,1,2.9,15.7,2.8
1.125,2.7,2.2125,74.2,71.4625,2.1,SREDNJA,1,9,6.10000000000001,1.6
0.1625,1.7,1,95.3,93.525,5.6,SREDNJA,1,1.3,3.8,0.6
0.15,1.8,1.2875,96.7,96.1125,9.6,NIZKA,1,1.2,2,0.799999999999999
0.1,2.1,1.7,93.2,91.05,8.6,NIZKA,1,0.8,4,0.8
0.625,1.9,1.325,92.8,86.3625,6.6,SREDNJA,1,5,13.9,2.3
0.3625,2.5,1.625,92.3,74.1,7.2,SREDNJA,1,2.9,31.7,1
0.75,4.8,3.6875,53.4,49.2125,6.3,SREDNJA,1,6,7.3,1.4
1.25,4.6,3.5,48.9,46.35,1.6,SREDNJA,1,10,5.5,1
2.625,2.9,1.55,74.8,70.75,0.1,SREDNJA,1,21,8.8,1.9
0.8625,2.1,1.55,75,70.075,4.3,SREDNJA,1,6.9,10.6,2.3
2.025,2.4,1.6375,93.2,92.35,2.8,SREDNJA,1,16.2,1.40000000000001,1.4
