"Datum","Postaja","Glob_sevanje_max","Glob_sevanje_mean","Glob_sevanje_min","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3"
2013-01-01,"Koper",5,0.625,0,2.8,1.9125,1.2,4.6,3.175,2.4,0,0,1019.9,1018.775,1018.1,84.4,83.35,81.7,-0.4,-1.6875,-2.5,2.9,2.2875,1.9,53.3,54.9
2013-01-02,"Koper",3.2,0.4,0,1.9,1.0625,0.5,3,1.9125,1.2,0,0,1018.9,1017.9875,1017.6,85.7,83.675,80.5,-2.3,-2.9875,-4.3,7.1,6.6875,6.2,26.1,68.25
2013-01-03,"Koper",4,0.5,0,2.3,1.7,1.3,3.9,3.0625,2.2,0,0,1032.8,1031.3,1029.9,82.1,75.5625,60.1,-4.3,-4.525,-4.7,9.2,6.75,4.7,26,66.2
2013-01-04,"Koper",5,0.625,0,2,1.775,1.3,4.8,3.25,2.4,0,0,1032.4,1030.9125,1030.1,89.3,87.8625,86.2,3.3,2.9625,2.6,5.4,5.0375,4.4,34.8,49.05
2013-01-05,"Koper",4,0.5,0,2.2,1.7,0.9,3.8,3.1375,2.1,0,0,1023.2,1021.6375,1020.5,93.1,92.225,91.5,3.5,2.9875,2.4,4.5,3.85,3.5,37.7,46.05
2013-01-06,"Koper",3,0.375,0,2.5,1.9875,1.4,4,3.3375,2.3,0,0,1023.2,1022.4875,1021.3,91.5,84.4,72.1,0,-0.25,-0.7,5.6,4.8,4.1,29.8,56.6
2013-01-07,"Koper",4,0.5,0,2.6,1.775,1.2,4.4,3.325,2.2,0,0,1020.2,1019.55,1019.2,89,86.2375,84.4,0.4,-0.025,-0.5,5.7,4.975,4.5,18.9,55.3
2013-01-08,"Koper",1.6,0.2,0,2.2,1.375,1,3.4,2.275,1.7,0,0,1026.4,1025.8875,1025.4,71.9,68.65,65.3,-2.1,-3.4125,-4.2,6.6,5.9625,5.1,37.9,61.3
2013-01-09,"Koper",1.9,0.2375,0,1.8,1.3,0.8,2.9,2.3,1.7,0,0,1023.4,1022.6625,1022.1,85.9,82.7375,81,1.6,1.35,1.1,7.7,7.4375,7.2,37.9,60.8
2013-01-10,"Koper",0.9,0.1125,0,4.8,2.85,0.9,8,4.95,2.4,0.0375,0.3,1017.5,1015.9875,1014.9,88.9,86.7375,84.4,-3.4,-3.475,-3.6,9,8.625,8.3,42.4,45.1
