"make"	"address"	"all"	"X3d"	"our"	"over"	"remove"	"internet"	"order"	"mail"	"receive"	"will"	"people"	"report"	"addresses"	"free"	"business"	"email"	"you"	"credit"	"your"	"font"	"X000"	"money"	"hp"	"hpl"	"george"	"X650"	"lab"	"labs"	"telnet"	"X857"	"data"	"X415"	"X85"	"technology"	"X1999"	"parts"	"pm"	"direct"	"cs"	"meeting"	"original"	"project"	"re"	"edu"	"table"	"conference"	"semicol"	"paren"	"bracket"	"bang"	"dollar"	"pound"	"cap_avg"	"cap_long"	"cap_total"	"Class"
0.33	0.44	0.37	0	0.14	0.11	0	0.07	0.97	1.16	0.11	1.42	1.76	1.27	0.03	0.03	0.07	0.07	4.38	0	1.49	0	0.33	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.03	0	0	0	0.006	0.159	0	0.069	0.221	0.11	3.426	72	819	"spam"
0	2.08	0	0	3.12	0	1.04	0	0	0	0	2.08	0	0	0	0	0	4.16	2.08	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263	0	0	1.428	4	20	"spam"
0	0.46	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	1.38	0	1.85	0	0	0	2.31	0.46	0	0	0	0.46	0	0	0	0	0	0	0.46	0	0.46	0	0	1.38	0	0	0	0	0	0	0	0.155	0	0	0	0	2.982	28	167	"ham"
0	0	1.33	0	1.78	0.44	0	0.44	0	0	0	0	0	0	0	0	0	0	4.46	0.89	0.89	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0.078	0.078	0	0	0	0	1.541	5	37	"spam"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.428	3	10	"ham"
0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204	0	0.034	0	0	2.588	15	277	"spam"
0	0	0.86	0	0.43	0	0	0	0	0	0	0	0	0	0	0.43	0	0	2.17	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0.161	0	1.133	0	0	1.2	6	114	"spam"
0.66	0	0.26	0	0.26	0	0.13	0	0.66	0.26	0	0	0.79	0.13	0	0	0	0	3.98	0	0.53	0	0	1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0.109	0	0.414	0.021	0	5.955	65	667	"spam"
0	0	1.31	0	0	0	0	0	0	0	0	2.63	0	0	0	0	0	1.31	0	0	0	0	0	0	2.63	1.31	0	1.31	0	1.31	1.31	0	0	0	1.31	1.31	3.94	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.15	0	0	1.906	10	61	"ham"
0	0.78	2.34	0	0.78	0	1.56	0	0	0	0	1.56	0	0	0	0	0	0.78	7.03	0	2.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.363	0	0	1.348	29	147	"spam"
