"season" "size" "speed" "mxPH" "mnO2" "Cl" "NO3" "NH4" "oPO4" "PO4" "Chla" "a1"
"winter" "small" "medium" 7.98 8.8 59.333 7.392 286.66699 33.333 138 7.1 1.2
"summer" "small" "medium" 8 7.2 80 1.957 174.286 47.857 113.714 4.5 7
"spring" "small" "high" 8.35 8.4 68 3.026 458 45.2 111.8 3.2 1.4
"spring" "small" "medium" 8.1 13.2 19 0 130 6 40 2 3.9
"summer" "small" "medium" 8.37 12.1 12.85 0.84 15 5 10.507 13.8 28.4
"spring" "small" "high" 7.31 9.9 6 1.395 58.75 6 16 0.8 11.4
"autumn" "small" "high" 7.91 11.2 5 1.383 6 24.333 30 32 29.7
"summer" "small" "high" 7.99 10.7 4 1.368 117 17.25 44.75 0.8 74.3
"autumn" "small" "high" 7.82 11.5 8.18 1.488 39 16 139.5 0.4 0
"summer" "small" "medium" 7.9 6 63 1.053 11160.59961 1435 1690 4.5 0
"autumn" "small" "medium" 8.02 9.4 18.74 1.598 6249.6001 455.79999 690.59998 2 0
"summer" "small" "high" 6.6 10.8 4 1.18 80 2 59 0.6 62.5
"autumn" "small" "high" 6.79 9.4 11.42 1.966 42 3 15 0.6 21.6
"summer" "small" "high" 6.78 10.2 10.704 1.46 46 3 13.714 0.7 41.9
"summer" "small" "high" 7.8 10.8 14.568 1.228 61.25 34.5 62 1.1 35.4
"spring" "small" "high" 8.3 12.7 27 4.04 10 363 482 6 0
"spring" "small" "medium" 7.97 2.5 32.125 1.034 7912.5 132.625 164.62 1 10.1
"summer" "small" "high" 8.2 10.4 3.577 0.788 10.583 1.667 2.088 0.8 30.6
"autumn" "small" "medium" 8.1 6.4 21.2 3.222 44 54.8 155 61.52 19.4
"summer" "small" "medium" 8.54 12.83 22.545 4 170.5 68 116.069 41.6 19.2
"spring" "small" "medium" 7.7 6.8 65 1.833 782.5 77.25 340 9 0
"autumn" "small" "high" 8.4 10.5 50.6 10.494 334 209.10001 276.66699 20.72 2.3
"summer" "small" "high" 8.5 11.5 57.292 10.526 312.60001 261.39999 299.39999 23.5 0
"summer" "small" "high" 8.1 12.2 66 4.08 10 26 70 1.8 31.8
"autumn" "small" "low" 6.13 11.23 8.87 0.62 36 3 14.741 2.1 11.9
"summer" "small" "medium" 7.2 10.4 18 2.42 80 11 44 2.5 7.2
"autumn" "small" "medium" 7.8 9.1 36.124 5.974 169 13.091 71.057 3.3 4
"summer" "small" "high" 7.8 9.4 5.714 0.807 22.143 6 18.714 1.5 42.8
"autumn" "small" "high" 7.8 11.35 5.343 1.363 19.75 5.818 8.846 1.9 66.2
"winter" "small" "high" 7.66 10.8 4 0.997 15 1.5 7.333 1 17.9
"autumn" "small" "medium" 7.8 6.9 31.375 0.933 2138.57007 152.429 317.5 15.4 30.6
"winter" "medium" "medium" 8 7 37.091 2.237 146.364 84.091 172.778 2.3 7.6
"spring" "medium" "medium" 8.2 7.8 37.625 1.453 105.714 66.714 143.39999 2.6 0
"autumn" "medium" "medium" 8.2 10.7 134.66701 4.504 617.77802 49.444 164.778 19.2 2.8
"summer" "medium" "medium" 8 8.5 131.46899 3.454 792 63.1 286.60001 8.2 2.1
"autumn" "medium" "high" 8.9 10.5 34.8 6 122.556 41.111 144.11099 27.03 3.2
"summer" "medium" "high" 8.2 9.2 30.037 5.184 174.8 86.6 130.8 3.45 2.4
"summer" "medium" "medium" 7.8 8.8 29.078 2.823 263.556 27 95.12 11.5 35.2
"summer" "medium" "high" 7.5 10.8 10.357 3.35 127.667 22 34.321 1.2 7.8
"spring" "medium" "high" 7.4 9 13.75 5.268 58.75 56.25 64 2.5 2.9
"spring" "medium" "medium" 7.5 8.9 55.8 4.408 389 127.4 206.2 5 0
"spring" "medium" "medium" 7.8 10.4 49 7.557 6433.33008 170.66701 341 2.3 0
"autumn" "medium" "medium" 9.1 8 101.2 4.306 273.75 152.875 290.31299 10.7 0
"autumn" "medium" "high" 8.9 8 60.2 4.033 306.47101 136 242.94099 18.4 0
"summer" "medium" "low" 8.5 10.74 56.292 0.694 264.79999 43.4 124.942 30.48 13.7
"autumn" "medium" "high" 8.3 8.6 75 5.18 560 30.5 170 16.7 1.2
"spring" "medium" "high" 7.8 6.3 136.66701 3.734 154.444 35.556 175.33299 2.7 2.9
"autumn" "medium" "medium" 7.6 9.2 64.778 6.164 720 21.778 242.5 54.2 11.2
"summer" "medium" "medium" 7.5 9.2 61.557 7.035 558.33301 24.5 257.33301 19.5 3.8
"autumn" "medium" "low" 7.5 8.6 57.5 7.368 577 67.3 254.444 22 14.2
"spring" "medium" "low" 7.7 4.8 88.909 1.714 669.091 38.182 205.18201 2.8 9.7
"spring" "medium" "low" 7.9 7.2 55.25 2.235 89.375 17.5 141.5 17 8.7
"spring" "medium" "high" 8.06 2.2 39 2.085 773.125 90.75 163.25 26 2.7
"autumn" "medium" "high" 8.5 7.5 9.3 1.557 260 9.6 18.1 3.9 14.5
"autumn" "medium" "medium" 8.2 10.4 63.3 0.389 217.14301 24.333 114 2.7 19.8
"winter" "medium" "medium" 8 4.8 58.767 0.308 93.75 33.375 110.875 2.7 7.6
"autumn" "medium" "high" 8.7 10.8 1.118 0.534 26.364 14.818 20.9 1.4 40.7
"spring" "medium" "high" 8.4 11.2 0.5 0.32 10 21.6 27.6 0.6 37.1
"winter" "medium" "low" 8.5 8.3 36.583 5.632 440.83301 149 266.36401 19.827 2.5
"autumn" "medium" "low" 8.3 8.8 64.768 6.272 357.16699 219 302.5 8.267 3.5
"autumn" "medium" "medium" 8.4 10.8 47.304 7.773 258.909 145.091 223.04401 13.36 1
"autumn" "medium" "high" 7.9 11.9 11.862 2.209 128.636 48.091 69.079 2.755 0
"autumn" "medium" "medium" 9.13 12 30.496 4.971 99.6 64.6 146.265 54.13 1
"autumn" "medium" "high" 7.4 11.4 12.031 1.621 176.8 36.3 58.599 36.1 4.1
"summer" "medium" "medium" 8.3 8.9 271.5 6.315 375 169 313.5 2.8 16.5
"winter" "medium" "medium" 8.2 10.4 41 5.16 410 38 61 6 4.9
"summer" "medium" "medium" 8.2 11.2 36 4.4 32.5 108 155.5 3 12.4
"spring" "medium" "low" 8.17 6.3 37.3 0.527 82 62 133.10001 1.4 5.9
"autumn" "medium" "low" 8.33 10.6 36.156 1.137 119.444 92.889 112.855 10.5 74.8
"spring" "medium" "medium" 8.5 6.7 45.609 4.411 160 88.364 180.364 32.833 1.9
"autumn" "medium" "medium" 8.1 9.1 47.267 9.367 169.091 75 127.778 3.667 1.9
"winter" "medium" "high" 8.2 11.9 12.25 2.348 121.875 14 27.5 4.6 2.1
"summer" "medium" "high" 8.1 9.4 11 2.251 48.75 17.375 66.875 2.5 28.7
"summer" "medium" "low" 7.8 7.9 87 12.13 652.5 93.25 209 6 1.4
"spring" "medium" "high" 8.26 5 44.818 0.526 97.273 105.455 181.636 20.6 0
"summer" "medium" "high" 8.11 6.6 49.857 0.993 194.28 77 197.571 13 4.2
"summer" "medium" "high" 7.87 1.8 49.25 0.611 357.125 128.25 185.125 4.5 1.2
"winter" "medium" "high" 7.2 10.1 49.5 3.955 55 18 138 49 2.4
